"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"Stage 8: Access Control, Biometrics & Attendance","31","Biometric Systems","1","Title Slide - Biometric Systems","Analyze core parameters and hardware metrics for Biometric Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Biometric Systems."
"","31","Biometric Systems","2","RFID & Smart Card Standards","Analyze core parameters and hardware metrics for Biometric Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for RFID & Smart Card Standards."
"","31","Biometric Systems","3","Biometric Templates: Finger vs Face ID","Analyze core parameters and hardware metrics for Biometric Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Biometric Templates: Finger vs Face ID."
"","31","Biometric Systems","4","Wiegand and OSDP Hardware Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","31","Biometric Systems","5","Access Controller Power & Battery Backup","Analyze core parameters and hardware metrics for Biometric Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Controller Power & Battery Backup."
"","31","Biometric Systems","6","Fail-Safe vs Fail-Secure Lock Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","31","Biometric Systems","7","Request-to-Exit (REX) Wiring Loop","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","31","Biometric Systems","8","Database Config & Shift Rosters","Analyze core parameters and hardware metrics for Biometric Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Database Config & Shift Rosters."
"","31","Biometric Systems","9","Fire Relay Emergency Interlocks","Analyze core parameters and hardware metrics for Biometric Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fire Relay Emergency Interlocks."
"","31","Biometric Systems","10","Practical Lab: Reader & Lock Commissioning","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","32","Smart Locks","1","Title Slide - Smart Locks","Analyze core parameters and hardware metrics for Smart Locks."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Smart Locks."
"","32","Smart Locks","2","RFID & Smart Card Standards","Analyze core parameters and hardware metrics for Smart Locks."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for RFID & Smart Card Standards."
"","32","Smart Locks","3","Biometric Templates: Finger vs Face ID","Analyze core parameters and hardware metrics for Smart Locks."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Biometric Templates: Finger vs Face ID."
"","32","Smart Locks","4","Wiegand and OSDP Hardware Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","32","Smart Locks","5","Access Controller Power & Battery Backup","Analyze core parameters and hardware metrics for Smart Locks."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Controller Power & Battery Backup."
"","32","Smart Locks","6","Fail-Safe vs Fail-Secure Lock Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","32","Smart Locks","7","Request-to-Exit (REX) Wiring Loop","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","32","Smart Locks","8","Database Config & Shift Rosters","Analyze core parameters and hardware metrics for Smart Locks."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Database Config & Shift Rosters."
"","32","Smart Locks","9","Fire Relay Emergency Interlocks","Analyze core parameters and hardware metrics for Smart Locks."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fire Relay Emergency Interlocks."
"","32","Smart Locks","10","Practical Lab: Reader & Lock Commissioning","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","33","Boom Barrier","1","Title Slide - Boom Barrier","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Boom Barrier."
"","33","Boom Barrier","2","Barrier Motors & Balance Springs","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Barrier Motors & Balance Springs."
"","33","Boom Barrier","3","Gate Slide & Swing Actuator Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","33","Boom Barrier","4","Loop Detectors & Safety Photobeams","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Loop Detectors & Safety Photobeams."
"","33","Boom Barrier","5","Access Card & Remote Control Receivers","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Card & Remote Control Receivers."
"","33","Boom Barrier","6","Loop Wiring Layouts & Sizing","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","33","Boom Barrier","7","Ticket Dispensers & Fee Calculators","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Ticket Dispensers & Fee Calculators."
"","33","Boom Barrier","8","ANPR Integration & Lane Controls","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for ANPR Integration & Lane Controls."
"","33","Boom Barrier","9","Emergency Manual Override Protocols","Analyze core parameters and hardware metrics for Boom Barrier."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Emergency Manual Override Protocols."
"","33","Boom Barrier","10","Practical Lab: Loop Detector Calibration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","34","Gate Automation","1","Title Slide - Gate Automation","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Gate Automation."
"","34","Gate Automation","2","Barrier Motors & Balance Springs","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Barrier Motors & Balance Springs."
"","34","Gate Automation","3","Gate Slide & Swing Actuator Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","34","Gate Automation","4","Loop Detectors & Safety Photobeams","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Loop Detectors & Safety Photobeams."
"","34","Gate Automation","5","Access Card & Remote Control Receivers","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Card & Remote Control Receivers."
"","34","Gate Automation","6","Loop Wiring Layouts & Sizing","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","34","Gate Automation","7","Ticket Dispensers & Fee Calculators","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Ticket Dispensers & Fee Calculators."
"","34","Gate Automation","8","ANPR Integration & Lane Controls","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for ANPR Integration & Lane Controls."
"","34","Gate Automation","9","Emergency Manual Override Protocols","Analyze core parameters and hardware metrics for Gate Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Emergency Manual Override Protocols."
"","34","Gate Automation","10","Practical Lab: Loop Detector Calibration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 9: Boom Barriers & Vehicle Gate Systems","35","Intruder Alarm Systems","1","Title Slide - Intruder Alarm Systems","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Intruder Alarm Systems."
"","35","Intruder Alarm Systems","2","Zone Configurations & EOL Loops","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zone Configurations & EOL Loops."
"","35","Intruder Alarm Systems","3","Detector Technology: PIR, Smoke & Heat","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Detector Technology: PIR, Smoke & Heat."
"","35","Intruder Alarm Systems","4","Panel Bus Loop & Addressing","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Panel Bus Loop & Addressing."
"","35","Intruder Alarm Systems","5","Sounders, Strobes, and Relays Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","35","Intruder Alarm Systems","6","Power Supply & Backup Battery Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","35","Intruder Alarm Systems","7","Programming Arming & Alarm Action Rules","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Programming Arming & Alarm Action Rules."
"","35","Intruder Alarm Systems","8","Emergency Services Dialers & Cloud APIs","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Emergency Services Dialers & Cloud APIs."
"","35","Intruder Alarm Systems","9","Testing, Maintenance & False Alarms","Analyze core parameters and hardware metrics for Intruder Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Testing, Maintenance & False Alarms."
"","35","Intruder Alarm Systems","10","Practical Lab: Alarm Zone System Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","36","Fire Alarm Systems","1","Title Slide - Fire Alarm Systems","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Fire Alarm Systems."
"","36","Fire Alarm Systems","2","Zone Configurations & EOL Loops","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zone Configurations & EOL Loops."
"","36","Fire Alarm Systems","3","Detector Technology: PIR, Smoke & Heat","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Detector Technology: PIR, Smoke & Heat."
"","36","Fire Alarm Systems","4","Panel Bus Loop & Addressing","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Panel Bus Loop & Addressing."
"","36","Fire Alarm Systems","5","Sounders, Strobes, and Relays Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","36","Fire Alarm Systems","6","Power Supply & Backup Battery Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","36","Fire Alarm Systems","7","Programming Arming & Alarm Action Rules","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Programming Arming & Alarm Action Rules."
"","36","Fire Alarm Systems","8","Emergency Services Dialers & Cloud APIs","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Emergency Services Dialers & Cloud APIs."
"","36","Fire Alarm Systems","9","Testing, Maintenance & False Alarms","Analyze core parameters and hardware metrics for Fire Alarm Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Testing, Maintenance & False Alarms."
"","36","Fire Alarm Systems","10","Practical Lab: Alarm Zone System Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"Stage 10: Building Management Systems (BMS)","37","PA/BGM Systems","1","Title Slide - PA/BGM Systems","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - PA/BGM Systems."
"","37","PA/BGM Systems","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","37","PA/BGM Systems","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","37","PA/BGM Systems","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","37","PA/BGM Systems","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","37","PA/BGM Systems","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","37","PA/BGM Systems","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","37","PA/BGM Systems","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","37","PA/BGM Systems","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for PA/BGM Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","37","PA/BGM Systems","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","38","Intercom Systems","1","Title Slide - Intercom Systems","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Intercom Systems."
"","38","Intercom Systems","2","VDP Cabling & 2-Wire vs IP Models","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for VDP Cabling & 2-Wire vs IP Models."
"","38","Intercom Systems","3","Outdoor Panel Mounting & Camera Setup","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Outdoor Panel Mounting & Camera Setup."
"","38","Intercom Systems","4","Indoor Monitor Config & Ring Profiles","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Indoor Monitor Config & Ring Profiles."
"","38","Intercom Systems","5","Lock Actuators: Wet vs Dry Relays","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Lock Actuators: Wet vs Dry Relays."
"","38","Intercom Systems","6","Solenoid & Magnetic Lock Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","38","Intercom Systems","7","Multi-Apartment System Routing","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Multi-Apartment System Routing."
"","38","Intercom Systems","8","Mobile App Integration & Gateways","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mobile App Integration & Gateways."
"","38","Intercom Systems","9","Diagnosing Audio Noise & Video Snow","Analyze core parameters and hardware metrics for Intercom Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnosing Audio Noise & Video Snow."
"","38","Intercom Systems","10","Practical Lab: Video Intercom Commissioning","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","39","Elevator Access Control","1","Title Slide - Elevator Access Control","Analyze core parameters and hardware metrics for Elevator Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Elevator Access Control."
"","39","Elevator Access Control","2","RFID & Smart Card Standards","Analyze core parameters and hardware metrics for Elevator Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for RFID & Smart Card Standards."
"","39","Elevator Access Control","3","Biometric Templates: Finger vs Face ID","Analyze core parameters and hardware metrics for Elevator Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Biometric Templates: Finger vs Face ID."
"","39","Elevator Access Control","4","Wiegand and OSDP Hardware Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","39","Elevator Access Control","5","Access Controller Power & Battery Backup","Analyze core parameters and hardware metrics for Elevator Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Controller Power & Battery Backup."
"","39","Elevator Access Control","6","Fail-Safe vs Fail-Secure Lock Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","39","Elevator Access Control","7","Request-to-Exit (REX) Wiring Loop","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","39","Elevator Access Control","8","Database Config & Shift Rosters","Analyze core parameters and hardware metrics for Elevator Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Database Config & Shift Rosters."
"","39","Elevator Access Control","9","Fire Relay Emergency Interlocks","Analyze core parameters and hardware metrics for Elevator Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fire Relay Emergency Interlocks."
"","39","Elevator Access Control","10","Practical Lab: Reader & Lock Commissioning","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","40","Visitor Management","1","Title Slide - Visitor Management","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Visitor Management."
"","40","Visitor Management","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","40","Visitor Management","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","40","Visitor Management","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","40","Visitor Management","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","40","Visitor Management","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","40","Visitor Management","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","40","Visitor Management","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","40","Visitor Management","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Visitor Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","40","Visitor Management","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 11: Smart Home Automation, IoT & KNX","41","Hotel Lock Systems","1","Title Slide - Hotel Lock Systems","Analyze core parameters and hardware metrics for Hotel Lock Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Hotel Lock Systems."
"","41","Hotel Lock Systems","2","RFID & Smart Card Standards","Analyze core parameters and hardware metrics for Hotel Lock Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for RFID & Smart Card Standards."
"","41","Hotel Lock Systems","3","Biometric Templates: Finger vs Face ID","Analyze core parameters and hardware metrics for Hotel Lock Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Biometric Templates: Finger vs Face ID."
"","41","Hotel Lock Systems","4","Wiegand and OSDP Hardware Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","41","Hotel Lock Systems","5","Access Controller Power & Battery Backup","Analyze core parameters and hardware metrics for Hotel Lock Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Controller Power & Battery Backup."
"","41","Hotel Lock Systems","6","Fail-Safe vs Fail-Secure Lock Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","41","Hotel Lock Systems","7","Request-to-Exit (REX) Wiring Loop","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","41","Hotel Lock Systems","8","Database Config & Shift Rosters","Analyze core parameters and hardware metrics for Hotel Lock Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Database Config & Shift Rosters."
"","41","Hotel Lock Systems","9","Fire Relay Emergency Interlocks","Analyze core parameters and hardware metrics for Hotel Lock Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fire Relay Emergency Interlocks."
"","41","Hotel Lock Systems","10","Practical Lab: Reader & Lock Commissioning","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","42","Parking Management","1","Title Slide - Parking Management","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Parking Management."
"","42","Parking Management","2","Barrier Motors & Balance Springs","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Barrier Motors & Balance Springs."
"","42","Parking Management","3","Gate Slide & Swing Actuator Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","42","Parking Management","4","Loop Detectors & Safety Photobeams","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Loop Detectors & Safety Photobeams."
"","42","Parking Management","5","Access Card & Remote Control Receivers","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Access Card & Remote Control Receivers."
"","42","Parking Management","6","Loop Wiring Layouts & Sizing","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","42","Parking Management","7","Ticket Dispensers & Fee Calculators","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Ticket Dispensers & Fee Calculators."
"","42","Parking Management","8","ANPR Integration & Lane Controls","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for ANPR Integration & Lane Controls."
"","42","Parking Management","9","Emergency Manual Override Protocols","Analyze core parameters and hardware metrics for Parking Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Emergency Manual Override Protocols."
"","42","Parking Management","10","Practical Lab: Loop Detector Calibration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","43","Basic Building Management Systems (BMS)","1","Title Slide - Basic Building Management Systems (BMS)","Analyze core parameters and hardware metrics for Basic Building Management Systems (BMS)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Basic Building Management Systems (BMS)."
"","43","Basic Building Management Systems (BMS)","2","BMS Architecture & DDC Controllers","Analyze core parameters and hardware metrics for Basic Building Management Systems (BMS)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for BMS Architecture & DDC Controllers."
"","43","Basic Building Management Systems (BMS)","3","Modbus, BACnet, and LonWorks Protocols","Analyze core parameters and hardware metrics for Basic Building Management Systems (BMS)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Modbus, BACnet, and LonWorks Protocols."
"","43","Basic Building Management Systems (BMS)","4","HVAC Monitoring: Sensors & Dampers","Analyze core parameters and hardware metrics for Basic Building Management Systems (BMS)."
"","","","","","Implement industry standards and configuration guidelines."
